Site_Name,Alt_1,Alt_2,Alt_3,Site,River_Side,GCMRC_Mile,RiverMile,NPS_Primar,NPS_Legacy,NPS_Size,NPS_Campsite,RemoteCamera,Photos_Available,Latitude,Longitude
119.2 Mile Camp,118.5 Mile Camp,Apache Terrace Camp, ,119.2_Mile_Camp,L,119.228,119.23,No,No,N/A,N,No,Yes,36.22508181,-112.4563046
No Name 119.6 Camp,N/A, , ,No_Name_119.6_Camp,L,119.545,119.55,No,No,N/A,N,No,Yes,36.22958681,-112.4580617
119.8 Mile Right Camp,119.2 Mile Camp,119.8 Mile Camp,119 Mile Right Camp,119.8_Mile_Right_Camp,R,119.825,119.83,Yes,No,S,Y,Yes,Yes,36.23292936,-112.459237
119.8 Mile Left Camp,119 Mile Left Camp, , ,119.8_Mile_Left_Camp,L,119.834,119.83,No,Yes,N/A,N,No,Yes,36.23313044,-112.460794
120 Mile Camp,Michael Jacob's Camp,Hundred and Twenty Mile Camp, ,120_Mile_Camp,L,120.328,120.33,Yes,No,L,Y,No,Yes,36.23786336,-112.4668595
Opposite Blacktail Camp,N/A, , ,Opposite_Blacktail_Camp,L,120.608,120.61,Yes,No,N/A,Y,No,Yes,36.23908681,-112.4710271
Blacktail Camp,Upper Blacktail Camp,Blacktail Canyon Camp, ,Blacktail_Camp,R,120.636,120.64,Yes,No,M,Y,No,Yes,36.23996501,-112.4718388
Below Blacktail Camp,120.9 Mile Camp,120.5 Mile Camp, ,Below_Blacktail_Camp,L,120.912,120.91,Yes,No,L,Y,No,Yes,36.23992299,-112.4760189
121.2 Mile Camp,120.5 Mile Camp, , ,121.2_Mile_Camp,L,121.183,121.18,Yes,Yes,N/A,N,No,Yes,36.24085811,-112.4808329
122.0 Mile Camp,N/A, , ,122.0_Mile_Camp,L,122.08,122.08,Yes,No,N/A,N,No,Yes,36.24258559,-112.4967417
122.2 Mile Camp,N/A, , ,122.2_Mile_Camp,L,122.196,122.2,No,No,N/A,N,No,Yes,36.24301491,-112.4988597
122.3 Mile Camp,121.5 Mile Camp,122 Mile Rapid Camp,122 Mile Ledge Camp,122.3_Mile_Camp,L,122.27,122.27,Yes,Yes,S,Y,No,Yes,36.24317932,-112.4999034
122 Mile Canyon Camp,Hundred and Twentytwo Mile Camp,122 Mile Creek Camp,122 Mile Camp,122_Mile_Canyon_Camp,R,122.776,122.78,Yes,No,L,Y,Yes,Yes,36.24428323,-112.5077961
No Name 122.9 Camp,N/A, , ,No_Name_122.9_Camp,L,122.855,122.86,No,No,N/A,N,No,Yes,36.24381494,-112.5098577
No Name 123.0 Camp,N/A, , ,No_Name_123.0_Camp,L,122.979,122.98,No,No,N/A,N,No,Yes,36.24345799,-112.5120388
Upper Forster Camp,Upper Forster Canyon Camp, , ,Upper_Forster_Camp,L,123.264,123.26,Yes,No,M,Y,Yes,Yes,36.24475473,-112.51748
Enfilade Camp,Enfilade Point Camp, , ,Enfilade_Camp,L,124.196,124.2,Yes,No,L,Y,No,Yes,36.25443258,-112.5277457
Above Fossil Camp,124.5 Mile Camp, , ,Above_Fossil_Camp,L,125.019,125.02,No,Yes,S,N,No,Yes,36.26627954,-112.5302984
Fossil Camp,N/A, , ,Fossil_Camp,L,125.389,125.39,Yes,Yes,L,Y,No,Yes,36.27079062,-112.5258094
No Name 125.6 Camp,Fossil Rapids Camp, , ,No_Name_125.6_Camp,L,125.585,125.59,Yes,Yes,N/A,N,No,Yes,36.27208831,-112.5238326
No Name 125.9 Camp,N/A, , ,No_Name_125.9_Camp,L,125.915,125.92,No,No,N/A,N,No,Yes,36.2755401,-112.520493
Below Fossil Camp,N/A, , ,Below_Fossil_Camp,L,126.104,126.1,Yes,No,M,Y,No,Yes,36.27727629,-112.5178534
No Name 126.2 Camp,N/A, , ,No_Name_126.2_Camp,L,126.21,126.21,No,No,N/A,N,No,Yes,36.2778568,-112.5161851
No Name 126.8 Camp,Above Randy's Rock Camp, , ,No_Name_126.8_Camp,L,126.767,126.77,Yes,Yes,N/A,N,No,Yes,36.28084825,-112.5072583
Randys Rock Camp,N/A, , ,Randys_Rock_Camp,R,126.989,126.99,Yes,No,L,Y,No,Yes,36.28258548,-112.5035965
Narrows Camp,The Narrows Camp,77 Foot Narrows Camp, ,Narrows_Camp,L,128.397,128.4,No,Yes,N/A,N,No,Yes,36.30117021,-112.4952544
Below Bedrock Camp,Bedrock Rapids Camp, , ,Below_Bedrock_Camp,R,131.753,131.75,Yes,No,L,Y,No,Yes,36.33670631,-112.4556712
Galloway Camp,Upper Deubendorff Rapids Camp, , ,Galloway_Camp,R,132.224,132.22,Yes,No,M,Y,No,Yes,36.34348823,-112.4539579
Stone Creek Camp,Lower Deubendorff Rapids Camp, , ,Stone_Creek_Camp,R,132.492,132.49,Yes,No,L,Y,No,Yes,36.34759982,-112.4546042
132 Mile Camp,N/A, , ,132_Mile_Camp,L,132.738,132.74,No,Yes,N/A,N,No,Yes,36.35087492,-112.4558376
Talking Heads Camp,133 Mile Camp, , ,Talking_Heads_Camp,L,133.682,133.68,Yes,No,M,Y,No,Yes,36.36328685,-112.4615633
Racetrack Camp,N/A, , ,Racetrack_Camp,R,134.153,134.15,Yes,No,M,Y,No,Yes,36.36899373,-112.4663314
Lower Tapeats Camp,Below Tapeats Camp,Tapeats Camp, ,Lower_Tapeats_Camp,R,134.52,134.52,Yes,No,M,Y,No,Yes,36.3717443,-112.4718332
Above Owl Eyes Camp,Below Tapeats Left Camp,Bonita Creek Camp, ,Above_Owl_Eyes_Camp,L,134.812,134.81,Yes,Yes,L,Y,No,Yes,36.37344576,-112.4768259
Owl Eyes Camp,134.5 Mile Camp, , ,Owl_Eyes_Camp,L,135.197,135.2,Yes,No,L,Y,No,Yes,36.37689278,-112.4819545
Junebug Camp,Granite Narrows Camp, , ,Junebug_Camp,L,136.626,136.63,Yes,No,S,Y,No,Yes,36.38675405,-112.5041112
Across Deer Creek Camp,Opposite Deer Creek Camp,Upper Deer Creek Camp, ,Across_Deer_Creek_Camp,L,136.813,136.81,Yes,No,M,Y,No,Yes,36.38753369,-112.5074056
Below Deer Creek Camp,N/A, , ,Below_Deer_Creek_Camp,L,136.975,136.98,No,Yes,XS,N,No,Yes,36.38791874,-112.5105451
OCs Camp,9mm Camp,136.5 Mile Camp, ,OCs_Camp,L,137.123,137.12,Yes,No,L,Y,No,Yes,36.38825654,-112.5127944
No Name 137.2 Camp,N/A, , ,No_Name_137.2_Camp,L,137.227,137.23,No,No,N/A,N,No,Yes,36.38891508,-112.5144209
Ponchos Camp,Ponch's Kitchen Camp, , ,Ponchos_Camp,L,137.612,137.61,Yes,No,L,Y,No,Yes,36.39072408,-112.5209035
Football Field Camp,137.0 Mile Camp, , ,Football_Field_Camp,L,137.683,137.68,Yes,No,L,Y,Yes,Yes,36.39107434,-112.5222341
Backeddy Camp,Back Eddy Camp, , ,Backeddy_Camp,L,137.764,137.76,Yes,No,M,Y,No,Yes,36.39159274,-112.5236424
No Name 138.3 Camp,N/A, , ,No_Name_138.3_Camp,L,138.255,138.26,No,No,N/A,N,No,Yes,36.39607172,-112.5299968
Doris Camp,N/A, , ,Doris_Camp,L,138.562,138.56,Yes,No,M,Y,No,Yes,36.39775586,-112.5349098
138.9 Mile Camp,N/A, , ,138.9_Mile_Camp,L,138.928,138.93,Yes,Yes,N/A,N,No,Yes,36.3995031,-112.5409385
139.1 Mile Camp,138.4 Mile Camp,Above Fishtail Camp,138.5 Mile Camp,139.1_Mile_Camp,L,139.091,139.09,Yes,No,N/A,Y,No,Yes,36.39968151,-112.5439467
Fishtail Camp,Fishtail Rapids Camp, , ,Fishtail_Camp,R,139.603,139.6,Yes,No,S,Y,Yes,Yes,36.40089932,-112.5531934
No Name 140.0 Right Camp,N/A, , ,No_Name_140.0_Right_Camp,R,139.998,140,Yes,Yes,N/A,N,No,Yes,36.40045927,-112.5603176
No Name 140.0 Left Camp,N/A, , ,No_Name_140.0_Left_Camp,L,140.017,140.02,No,Yes,N/A,N,No,Yes,36.39964639,-112.5602419
Keyhole Camp,Upper 140 Mile Canyon Camp,,,Keyhole_Camp,L,140.381,140.38,Yes,No,M,Y,No,Yes,36.39878966,-112.5671933
No Name 140.6 Camp,Lower 140 Mile Camp,Lower 140 Mile Canyon Camp, ,No_Name_140.6_Camp,L,140.544,140.54,No,Yes,N/A,N,No,Yes,36.39848932,-112.5697042
Above Kanab Camp,Kanab Rapids Camp, , ,Above_Kanab_Camp,L,143.84,143.84,Yes,No,S,Y,No,Yes,36.39137228,-112.6263832
Kanab Camp,Mouth Kanab Camp, , ,Kanab_Camp,R,144.009,144.01,Yes,No,N/A,N,No,Yes,36.39243251,-112.6294181
Above Olo Camp,N/A, , ,Above_Olo_Camp,L,145.87,145.87,Yes,No,L,Y,Yes,Yes,36.37415828,-112.6494467
Olo Camp,Olo Canyon Camp, , ,Olo_Camp,L,146.09,146.09,Yes,No,S,Y,No,Yes,36.37073524,-112.6497969
Upper Matkat Hotel Camp,N/A, , ,Upper_Matkat_Hotel_Camp,L,148.852,148.85,Yes,No,N/A,N,No,Yes,36.34131027,-112.6801606
Matkat Hotel Camp,Matkatamiba Canyon Camp, , ,Matkat_Hotel_Camp,L,148.924,148.92,Yes,No,M,Y,No,Yes,36.34127497,-112.6815835
Patch Camp,Upset Rapids Camp, , ,Patch_Camp,R,150.282,150.28,Yes,No,M,Y,No,Yes,36.35559259,-112.6951934
Upset Hotel Camp,N/A, , ,Upset_Hotel_Camp,L,150.707,150.71,Yes,No,S,Y,No,Yes,36.35382883,-112.7023947
Ledges Camp,Art's Ledges Camp, , ,Ledges_Camp,R,152.087,152.09,Yes,No,M,Y,No,Yes,36.34562752,-112.7249076
No Name 152.9 Camp,N/A, , ,No_Name_152.9_Camp,L,152.863,152.86,Yes,Yes,S,N,No,Yes,36.33489613,-112.7243474
No Name 154.3 Camp,N/A, , ,No_Name_154.3_Camp,L,154.282,154.28,No,No,N/A,N,No,Yes,36.31776823,-112.7274282
Last Chance Camp,N/A, , ,Last_Chance_Camp,R,156.262,156.26,Yes,No,S,Y,No,Yes,36.32182928,-112.7587996
First Chance Camp,N/A, , ,First_Chance_Camp,R,158.25,158.25,Yes,No,S,Y,No,Yes,36.3031185,-112.778976
158.7 Mile Camp,Cork Spring Camp,Bloody Toes Camp,158 Mile Camp,158.7_Mile_Camp,R,158.698,158.7,Yes,Yes,M,Y,No,Yes,36.30184732,-112.7868235
Second Chance Camp,N/A, , ,Second_Chance_Camp,R,159.173,159.17,Yes,No,S,Y,No,Yes,36.29536203,-112.7898971
160.5 Mile Camp,N/A, , ,160.5_Mile_Camp,L,160.475,160.48,Yes,Yes,N/A,Y,No,Yes,36.28448731,-112.8019612
161.3 Mile Camp,161 Mile Camp,160.7 Mile Camp, ,161.3_Mile_Camp,R,161.298,161.3,Yes,No,M,Y,No,Yes,36.28881542,-112.8154882
164.5 Mile Camp,Frog Pond Camp,164 Mile Camp,164 Mile Creek Camp,164.5_Mile_Camp,L,164.473,164.47,Yes,Yes,XS,N,No,Yes,36.28199899,-112.8651943
Tuckup Camp,Tuckup Canyon Camp, , ,Tuckup_Camp,R,165.144,165.14,Yes,No,L,Y,No,Yes,36.27933431,-112.8756477
165.7 Mile Camp,165 Mile Camp,Below Tuckup on the Right Camp, ,165.7_Mile_Camp,R,165.683,165.68,Yes,No,S,Y,No,Yes,36.27228797,-112.8802536
Upper National Camp,National Camp, , ,Upper_National_Camp,L,167.011,167.01,Yes,No,L,Y,No,Yes,36.25718801,-112.8935489
Lower National Camp,N/A, , ,Lower_National_Camp,L,167.112,167.11,Yes,No,L,Y,No,Yes,36.25626598,-112.894853
Fern Glen Camp,N/A, , ,Fern_Glen_Camp,R,168.603,168.6,Yes,No,L,Y,No,Yes,36.25893864,-112.9195708
No Name 171.4 Camp,N/A, , ,No_Name_171.4_Camp,R,171.423,171.42,No,No,N/A,N,No,Yes,36.23813359,-112.958505
No Name 173.3 Camp,N/A, , ,No_Name_173.3_Camp,L,173.3,173.3,Yes,Yes,N/A,N,No,Yes,36.23250251,-112.9906147
Below Red Slide Camp,Red Slide Camp, , ,Below_Red_Slide_Camp,L,176.302,176.3,Yes,No,L,Y,No,Yes,36.22743947,-113.0366103
Above Anvil Camp,N/A, , ,Above_Anvil_Camp,L,178.036,178.04,Yes,No,L,Y,No,Yes,36.20784719,-113.0555937
Below Lower Lava Camp,Tequila Beach Camp,Fat City Camp,Lower Lave Falls Rapids Camp,Below_Lower_Lava_Camp,R,180.145,180.15,Yes,No,L,Y,No,Yes,36.19535141,-113.0889194
No Name 182.0 Camp,N/A, , ,No_Name_182.0_Camp,L,182.04,182.04,No,No,N/A,N,No,Yes,36.18047058,-113.1160331
184.9 Mile Camp,184.5 Mile Camp, , ,184.9_Mile_Camp,L,185.004,185,Yes,No,S,Y,No,Yes,36.17362912,-113.1571802
186.4 Mile Camp,186 Mile Camp, , ,186.4_Mile_Camp,L,186.414,186.41,Yes,No,L,Y,No,Yes,36.16056018,-113.1755823
Hualapai Acres Camp,N/A, , ,Hualapai_Acres_Camp,L,194.62,194.62,Yes,Yes,L,Y,Yes,Yes,36.08853718,-113.2540959
No Name 199.5 Camp,N/A, , ,No_Name_199.5_Camp,R,199.42,199.42,Yes,No,N/A,N,No,Yes,36.08673655,-113.3249641
202 Mile Camp,Two Hundred and Two Mile Camp, , ,202_Mile_Camp,R,202.321,202.32,Yes,No,M,Y,Yes,Yes,36.0522893,-113.3499333
Granite Park Camp,N/A, , ,Granite_Park_Camp,L,209.104,209.1,Yes,No,L,Y,No,Yes,35.96859947,-113.3164931
No Name 211.1 Camp,N/A, , ,No_Name_211.1_Camp,L,211.096,211.1,No,Yes,N/A,N,No,Yes,35.94520593,-113.3270661
Fall Canyon Camp,Upper Fall Canyon Camp, , ,Fall_Canyon_Camp,R,211.931,211.93,No,No,N/A,N,No,Yes,35.93333729,-113.3263827
Pumpkin Springs Camp,N/A, , ,Pumpkin_Springs_Camp,L,213.298,213.3,Yes,No,L,Y,Yes,Yes,35.91528446,-113.334428
Opposite Three Springs Camp,N/A, , ,Opposite_Three_Springs_Camp,R,216.07,216.07,Yes,No,L,Y,No,Yes,35.88495891,-113.3100408
Trail Canyon Camp,N/A, , ,Trail_Canyon_Camp,R,219.586,219.59,Yes,No,N/A,N,No,Yes,35.83844325,-113.3276226
Upper 220 Mile Camp,Upper Two Hundred and Twenty Mile Camp,Upper 220 Mile Canyon Camp, ,Upper_220_Mile_Camp,R,219.984,219.98,Yes,No,L,Y,No,Yes,35.83282093,-113.3277634
Lower 220 Mile Camp,Lower Two Hundred and Twenty Mile Camp,Lower 220 Mile Canyon Camp, ,Lower_220_Mile_Camp,R,220.201,220.2,Yes,No,M,Y,No,Yes,35.83023157,-113.3269785
Travertine Canyon Camp,N/A, , ,Travertine_Canyon_Camp,L,229.289,229.29,Yes,No,N/A,Y,No,Yes,35.7509806,-113.4246817
Travertine Falls Camp,N/A, , ,Travertine_Falls_Camp,L,230.666,230.67,Yes,No,N/A,Y,No,Yes,35.75625405,-113.4475617
234.4 Mile Camp,234 Mile Rapids Camp, , ,234.4_Mile_Camp,R,234.38,234.38,No,No,N/A,Y,No,Yes,35.76679337,-113.5111186
Gneiss Canyon Camp,Gneiss Camp, , ,Gneiss_Canyon_Camp,R,236.059,236.06,Yes,No,N/A,Y,No,Yes,35.78284774,-113.5319351
